QUERY = "setl high level languages"
11 Q0 CACM-2699 1 18.99028379765998 BM25
11 Q0 CACM-1923 2 14.578887291279159 BM25
11 Q0 CACM-2717 3 13.035500409656198 BM25
11 Q0 CACM-3148 4 12.893077985731182 BM25
11 Q0 CACM-3150 5 12.03927873129556 BM25
11 Q0 CACM-3171 6 10.906157385686136 BM25
11 Q0 CACM-2527 7 10.669674049442847 BM25
11 Q0 CACM-3077 8 10.533696611601643 BM25
11 Q0 CACM-2198 9 10.188105078929539 BM25
11 Q0 CACM-2906 10 10.157287606788973 BM25
11 Q0 CACM-2316 11 10.043091368242727 BM25
11 Q0 CACM-0724 12 9.010050653684651 BM25
11 Q0 CACM-2320 13 8.994236113720504 BM25
11 Q0 CACM-2246 14 8.98560797444276 BM25
11 Q0 CACM-3080 15 8.875090233786215 BM25
11 Q0 CACM-1860 16 8.54832366972915 BM25
11 Q0 CACM-1861 17 8.230001217894252 BM25
11 Q0 CACM-2081 18 8.181484189064617 BM25
11 Q0 CACM-2003 19 8.038621981675455 BM25
11 Q0 CACM-1835 20 8.016240002367757 BM25
11 Q0 CACM-0265 21 7.563406251621679 BM25
11 Q0 CACM-2705 22 7.287600470700233 BM25
11 Q0 CACM-2787 23 6.865829366515841 BM25
11 Q0 CACM-1552 24 6.747363236063434 BM25
11 Q0 CACM-2716 25 6.5714682022781545 BM25
11 Q0 CACM-2091 26 6.5502203615614905 BM25
11 Q0 CACM-0731 27 6.491153108921822 BM25
11 Q0 CACM-2593 28 6.328340404971388 BM25
11 Q0 CACM-1676 29 6.222943460392459 BM25
11 Q0 CACM-2826 30 6.1546078129133726 BM25
11 Q0 CACM-1223 31 6.067720211878397 BM25
11 Q0 CACM-3057 32 6.022677932649598 BM25
11 Q0 CACM-1642 33 5.923020004073922 BM25
11 Q0 CACM-3101 34 5.753207664294511 BM25
11 Q0 CACM-2542 35 5.744571381184478 BM25
11 Q0 CACM-1472 36 5.7149985863745165 BM25
11 Q0 CACM-1769 37 5.62688832633237 BM25
11 Q0 CACM-2898 38 5.518327837689365 BM25
11 Q0 CACM-1788 39 5.250548653810572 BM25
11 Q0 CACM-0795 40 5.217435344441729 BM25
11 Q0 CACM-1627 41 5.170428661092669 BM25
11 Q0 CACM-2867 42 5.170428661092669 BM25
11 Q0 CACM-2398 43 5.083978051432837 BM25
11 Q0 CACM-1366 44 5.043740391264491 BM25
11 Q0 CACM-2922 45 4.881320933356516 BM25
11 Q0 CACM-0249 46 4.859009407138662 BM25
11 Q0 CACM-1903 47 4.848921503579245 BM25
11 Q0 CACM-1462 48 4.8474944002807625 BM25
11 Q0 CACM-3123 49 4.845189350049368 BM25
11 Q0 CACM-1641 50 4.828666966104102 BM25
11 Q0 CACM-0281 51 4.729811441427068 BM25
11 Q0 CACM-1872 52 4.729811441427068 BM25
11 Q0 CACM-2897 53 4.65442852517627 BM25
11 Q0 CACM-1703 54 4.6364850820346595 BM25
11 Q0 CACM-1459 55 4.610024195190358 BM25
11 Q0 CACM-2317 56 4.603979477670948 BM25
11 Q0 CACM-1188 57 4.5817672600883474 BM25
11 Q0 CACM-1852 58 4.57639561777189 BM25
11 Q0 CACM-2645 59 4.4854773154825205 BM25
11 Q0 CACM-1678 60 4.430945455914788 BM25
11 Q0 CACM-2034 61 4.42836990584378 BM25
11 Q0 CACM-1306 62 4.422304293611534 BM25
11 Q0 CACM-2406 63 4.354468343732741 BM25
11 Q0 CACM-0479 64 4.341808191211375 BM25
11 Q0 CACM-2603 65 4.332316483201713 BM25
11 Q0 CACM-1485 66 4.294456090564648 BM25
11 Q0 CACM-2928 67 4.27529560420658 BM25
11 Q0 CACM-1496 68 4.26448634842776 BM25
11 Q0 CACM-1467 69 4.221443529935013 BM25
11 Q0 CACM-2295 70 4.221443529935013 BM25
11 Q0 CACM-2765 71 4.192808994941136 BM25
11 Q0 CACM-1553 72 4.174980807989827 BM25
11 Q0 CACM-2305 73 4.15233697644051 BM25
11 Q0 CACM-0111 74 4.1518806601260465 BM25
11 Q0 CACM-1466 75 4.135731325008005 BM25
11 Q0 CACM-2493 76 4.122251620510067 BM25
11 Q0 CACM-0463 77 4.095236059840974 BM25
11 Q0 CACM-0920 78 4.095236059840974 BM25
11 Q0 CACM-2814 79 4.095236059840974 BM25
11 Q0 CACM-1908 80 4.067252713850817 BM25
11 Q0 CACM-0628 81 4.055526128738336 BM25
11 Q0 CACM-0651 82 4.055526128738336 BM25
11 Q0 CACM-0762 83 4.055526128738336 BM25
11 Q0 CACM-1425 84 4.020957025662636 BM25
11 Q0 CACM-3105 85 3.9810647593272983 BM25
11 Q0 CACM-0755 86 3.9802311297052815 BM25
11 Q0 CACM-1098 87 3.958353125789931 BM25
11 Q0 CACM-2254 88 3.9559613325072136 BM25
11 Q0 CACM-0252 89 3.933178551738057 BM25
11 Q0 CACM-3119 90 3.904908491136623 BM25
11 Q0 CACM-2782 91 3.867993874181172 BM25
11 Q0 CACM-2956 92 3.799588507702576 BM25
11 Q0 CACM-2621 93 3.7970861581615947 BM25
11 Q0 CACM-1544 94 3.7722894701177734 BM25
11 Q0 CACM-0689 95 3.7635746280290583 BM25
11 Q0 CACM-2873 96 3.6987817796366786 BM25
11 Q0 CACM-2647 97 3.664644931244892 BM25
11 Q0 CACM-2219 98 3.656627720173514 BM25
11 Q0 CACM-2002 99 3.654205144792015 BM25
11 Q0 CACM-1625 100 3.618794140747856 BM25
