Result,Precision,Recall
CACM-2138,0.0,0.0
CACM-1988,0.0,0.0
CACM-3110,0.0,0.0
CACM-1852,0.0,0.0
CACM-2112,0.0,0.0
CACM-0670,0.0,0.0
CACM-1665,0.0,0.0
CACM-2175,0.125,0.09090909090909091
CACM-1811,0.2222222222222222,0.18181818181818182
CACM-2921,0.2,0.18181818181818182
CACM-1795,0.18181818181818182,0.18181818181818182
CACM-2495,0.16666666666666666,0.18181818181818182
CACM-3075,0.15384615384615385,0.18181818181818182
CACM-3156,0.14285714285714285,0.18181818181818182
CACM-2714,0.13333333333333333,0.18181818181818182
CACM-2685,0.1875,0.2727272727272727
CACM-0950,0.17647058823529413,0.2727272727272727
CACM-2266,0.16666666666666666,0.2727272727272727
CACM-2897,0.15789473684210525,0.2727272727272727
CACM-2570,0.15,0.2727272727272727
CACM-1159,0.14285714285714285,0.2727272727272727
CACM-1923,0.13636363636363635,0.2727272727272727
CACM-2929,0.13043478260869565,0.2727272727272727
CACM-3066,0.125,0.2727272727272727
CACM-0243,0.12,0.2727272727272727
CACM-2567,0.11538461538461539,0.2727272727272727
CACM-2661,0.1111111111111111,0.2727272727272727
CACM-2785,0.10714285714285714,0.2727272727272727
CACM-1163,0.10344827586206896,0.2727272727272727
CACM-2644,0.1,0.2727272727272727
CACM-0637,0.0967741935483871,0.2727272727272727
CACM-2904,0.09375,0.2727272727272727
CACM-2896,0.09090909090909091,0.2727272727272727
CACM-3175,0.08823529411764706,0.2727272727272727
CACM-2497,0.08571428571428572,0.2727272727272727
CACM-3005,0.08333333333333333,0.2727272727272727
CACM-3127,0.08108108108108109,0.2727272727272727
CACM-2298,0.07894736842105263,0.2727272727272727
CACM-2886,0.07692307692307693,0.2727272727272727
CACM-1223,0.075,0.2727272727272727
CACM-2289,0.07317073170731707,0.2727272727272727
CACM-1425,0.07142857142857142,0.2727272727272727
CACM-0303,0.06976744186046512,0.2727272727272727
CACM-2064,0.06818181818181818,0.2727272727272727
CACM-2433,0.08888888888888889,0.36363636363636365
CACM-1099,0.08695652173913043,0.36363636363636365
CACM-1409,0.0851063829787234,0.36363636363636365
CACM-1603,0.08333333333333333,0.36363636363636365
CACM-2423,0.08163265306122448,0.36363636363636365
CACM-3171,0.08,0.36363636363636365
CACM-2411,0.0784313725490196,0.36363636363636365
CACM-2706,0.07692307692307693,0.36363636363636365
CACM-2939,0.07547169811320754,0.36363636363636365
CACM-1844,0.07407407407407407,0.36363636363636365
CACM-1738,0.07272727272727272,0.36363636363636365
CACM-3080,0.07142857142857142,0.36363636363636365
CACM-2514,0.07017543859649122,0.36363636363636365
CACM-2645,0.06896551724137931,0.36363636363636365
CACM-2820,0.06779661016949153,0.36363636363636365
CACM-1747,0.06666666666666667,0.36363636363636365
CACM-1591,0.06557377049180328,0.36363636363636365
CACM-1680,0.06451612903225806,0.36363636363636365
CACM-1807,0.06349206349206349,0.36363636363636365
CACM-2253,0.0625,0.36363636363636365
CACM-3148,0.06153846153846154,0.36363636363636365
CACM-2717,0.06060606060606061,0.36363636363636365
CACM-2034,0.05970149253731343,0.36363636363636365
CACM-2767,0.058823529411764705,0.36363636363636365
CACM-2998,0.057971014492753624,0.36363636363636365
CACM-1947,0.05714285714285714,0.36363636363636365
CACM-2252,0.056338028169014086,0.36363636363636365
CACM-1135,0.05555555555555555,0.36363636363636365
CACM-2692,0.0547945205479452,0.36363636363636365
CACM-3150,0.05405405405405406,0.36363636363636365
CACM-2579,0.05333333333333334,0.36363636363636365
CACM-1389,0.05263157894736842,0.36363636363636365
CACM-2989,0.05194805194805195,0.36363636363636365
CACM-2723,0.05128205128205128,0.36363636363636365
CACM-1463,0.05063291139240506,0.36363636363636365
CACM-2341,0.05,0.36363636363636365
CACM-1324,0.04938271604938271,0.36363636363636365
CACM-2740,0.04878048780487805,0.36363636363636365
CACM-1154,0.04819277108433735,0.36363636363636365
CACM-2684,0.047619047619047616,0.36363636363636365
CACM-3093,0.047058823529411764,0.36363636363636365
CACM-0249,0.046511627906976744,0.36363636363636365
CACM-2491,0.04597701149425287,0.36363636363636365
CACM-0048,0.045454545454545456,0.36363636363636365
CACM-1362,0.0449438202247191,0.36363636363636365
CACM-1655,0.044444444444444446,0.36363636363636365
CACM-2748,0.04395604395604396,0.36363636363636365
CACM-2534,0.043478260869565216,0.36363636363636365
CACM-0082,0.043010752688172046,0.36363636363636365
CACM-1824,0.0425531914893617,0.36363636363636365
CACM-2316,0.042105263157894736,0.36363636363636365
CACM-3073,0.041666666666666664,0.36363636363636365
CACM-2633,0.041237113402061855,0.36363636363636365
CACM-2681,0.04081632653061224,0.36363636363636365
CACM-0205,0.04040404040404041,0.36363636363636365
CACM-2061,0.04,0.36363636363636365
