Result,Precision,Recall
CACM-3139,1.0,0.3333333333333333
CACM-1839,0.5,0.3333333333333333
CACM-2630,0.3333333333333333,0.3333333333333333
CACM-2161,0.25,0.3333333333333333
CACM-2172,0.2,0.3333333333333333
CACM-2934,0.16666666666666666,0.3333333333333333
CACM-1481,0.14285714285714285,0.3333333333333333
CACM-2461,0.125,0.3333333333333333
CACM-2790,0.1111111111111111,0.3333333333333333
CACM-3156,0.1,0.3333333333333333
CACM-1983,0.09090909090909091,0.3333333333333333
CACM-2763,0.08333333333333333,0.3333333333333333
CACM-2177,0.07692307692307693,0.3333333333333333
CACM-2430,0.07142857142857142,0.3333333333333333
CACM-2752,0.06666666666666667,0.3333333333333333
CACM-1563,0.0625,0.3333333333333333
CACM-2619,0.058823529411764705,0.3333333333333333
CACM-1822,0.05555555555555555,0.3333333333333333
CACM-2490,0.05263157894736842,0.3333333333333333
CACM-1791,0.05,0.3333333333333333
CACM-2290,0.047619047619047616,0.3333333333333333
CACM-3018,0.045454545454545456,0.3333333333333333
CACM-1393,0.043478260869565216,0.3333333333333333
CACM-3040,0.041666666666666664,0.3333333333333333
CACM-1529,0.04,0.3333333333333333
CACM-0119,0.038461538461538464,0.3333333333333333
CACM-2368,0.037037037037037035,0.3333333333333333
CACM-2883,0.03571428571428571,0.3333333333333333
CACM-1504,0.034482758620689655,0.3333333333333333
CACM-2444,0.03333333333333333,0.3333333333333333
CACM-2007,0.03225806451612903,0.3333333333333333
CACM-2155,0.03125,0.3333333333333333
CACM-1660,0.030303030303030304,0.3333333333333333
CACM-1952,0.029411764705882353,0.3333333333333333
CACM-2289,0.02857142857142857,0.3333333333333333
CACM-1899,0.027777777777777776,0.3333333333333333
CACM-0559,0.02702702702702703,0.3333333333333333
CACM-0270,0.02631578947368421,0.3333333333333333
CACM-2980,0.02564102564102564,0.3333333333333333
CACM-1342,0.025,0.3333333333333333
CACM-2484,0.024390243902439025,0.3333333333333333
CACM-2877,0.023809523809523808,0.3333333333333333
CACM-0371,0.023255813953488372,0.3333333333333333
CACM-1905,0.022727272727272728,0.3333333333333333
CACM-0307,0.022222222222222223,0.3333333333333333
CACM-2769,0.021739130434782608,0.3333333333333333
CACM-2408,0.02127659574468085,0.3333333333333333
CACM-0488,0.020833333333333332,0.3333333333333333
CACM-0908,0.02040816326530612,0.3333333333333333
CACM-0804,0.02,0.3333333333333333
CACM-1191,0.0196078431372549,0.3333333333333333
CACM-0269,0.019230769230769232,0.3333333333333333
CACM-1172,0.018867924528301886,0.3333333333333333
CACM-0845,0.018518518518518517,0.3333333333333333
CACM-0692,0.01818181818181818,0.3333333333333333
CACM-1374,0.017857142857142856,0.3333333333333333
CACM-1401,0.017543859649122806,0.3333333333333333
CACM-0806,0.017241379310344827,0.3333333333333333
CACM-0475,0.01694915254237288,0.3333333333333333
CACM-3190,0.016666666666666666,0.3333333333333333
CACM-0507,0.01639344262295082,0.3333333333333333
CACM-0328,0.016129032258064516,0.3333333333333333
CACM-0449,0.015873015873015872,0.3333333333333333
CACM-0508,0.015625,0.3333333333333333
CACM-0509,0.015384615384615385,0.3333333333333333
CACM-0773,0.015151515151515152,0.3333333333333333
CACM-0787,0.014925373134328358,0.3333333333333333
CACM-1060,0.014705882352941176,0.3333333333333333
CACM-1061,0.014492753623188406,0.3333333333333333
CACM-1124,0.014285714285714285,0.3333333333333333
CACM-1127,0.014084507042253521,0.3333333333333333
CACM-0003,0.013888888888888888,0.3333333333333333
CACM-2417,0.0136986301369863,0.3333333333333333
CACM-0283,0.013513513513513514,0.3333333333333333
CACM-0770,0.013333333333333334,0.3333333333333333
CACM-0906,0.013157894736842105,0.3333333333333333
CACM-0028,0.012987012987012988,0.3333333333333333
CACM-2830,0.01282051282051282,0.3333333333333333
CACM-0061,0.012658227848101266,0.3333333333333333
CACM-0423,0.0125,0.3333333333333333
CACM-0448,0.012345679012345678,0.3333333333333333
CACM-0486,0.012195121951219513,0.3333333333333333
CACM-0516,0.012048192771084338,0.3333333333333333
CACM-0566,0.011904761904761904,0.3333333333333333
CACM-0750,0.011764705882352941,0.3333333333333333
CACM-1283,0.011627906976744186,0.3333333333333333
CACM-2052,0.011494252873563218,0.3333333333333333
CACM-0416,0.011363636363636364,0.3333333333333333
CACM-2213,0.011235955056179775,0.3333333333333333
CACM-0776,0.011111111111111112,0.3333333333333333
CACM-2714,0.01098901098901099,0.3333333333333333
CACM-0984,0.010869565217391304,0.3333333333333333
CACM-2725,0.010752688172043012,0.3333333333333333
CACM-0026,0.010638297872340425,0.3333333333333333
CACM-0035,0.010526315789473684,0.3333333333333333
CACM-0330,0.010416666666666666,0.3333333333333333
CACM-1461,0.010309278350515464,0.3333333333333333
CACM-1466,0.01020408163265306,0.3333333333333333
CACM-0317,0.010101010101010102,0.3333333333333333
CACM-0934,0.01,0.3333333333333333
