QUERY = "parallel processors paging algorithms"
51 Q0 CACM-2714 1 0.8398442386584233 tf-idf
51 Q0 CACM-2022 2 0.5682586779951642 tf-idf
51 Q0 CACM-2085 3 0.5682586779951642 tf-idf
51 Q0 CACM-3156 4 0.4042348414529968 tf-idf
51 Q0 CACM-3006 5 0.383602738302887 tf-idf
51 Q0 CACM-0082 6 0.32469962739800634 tf-idf
51 Q0 CACM-1964 7 0.3059854419973961 tf-idf
51 Q0 CACM-2277 8 0.3059854419973961 tf-idf
51 Q0 CACM-1262 9 0.296357507924011 tf-idf
51 Q0 CACM-0141 10 0.27518911450086736 tf-idf
51 Q0 CACM-2685 11 0.26878936765201 tf-idf
51 Q0 CACM-2872 12 0.2651873830644099 tf-idf
51 Q0 CACM-1811 13 0.2585015296233099 tf-idf
51 Q0 CACM-2973 14 0.2568437557167499 tf-idf
51 Q0 CACM-3075 15 0.2549090080063406 tf-idf
51 Q0 CACM-2700 16 0.24855790987175116 tf-idf
51 Q0 CACM-1158 17 0.24079047518825894 tf-idf
51 Q0 CACM-0950 18 0.2375803284923419 tf-idf
51 Q0 CACM-3166 19 0.22790509018344376 tf-idf
51 Q0 CACM-0763 20 0.22728973917860446 tf-idf
51 Q0 CACM-2266 21 0.2262669795165161 tf-idf
51 Q0 CACM-2017 22 0.21386079279387898 tf-idf
51 Q0 CACM-2325 23 0.20353787928332714 tf-idf
51 Q0 CACM-1302 24 0.2027709264743233 tf-idf
51 Q0 CACM-2068 25 0.19889053729830747 tf-idf
51 Q0 CACM-1551 26 0.19733245613444522 tf-idf
51 Q0 CACM-2365 27 0.19726848874882189 tf-idf
51 Q0 CACM-2863 28 0.1968709113064332 tf-idf
51 Q0 CACM-0371 29 0.1926340643217203 tf-idf
51 Q0 CACM-1660 30 0.1926340643217203 tf-idf
51 Q0 CACM-1952 31 0.1926340643217203 tf-idf
51 Q0 CACM-2007 32 0.1926340643217203 tf-idf
51 Q0 CACM-2950 33 0.19036778121205303 tf-idf
51 Q0 CACM-2373 34 0.18756806587695554 tf-idf
51 Q0 CACM-1825 35 0.18745545499266345 tf-idf
51 Q0 CACM-2283 36 0.18728311809056145 tf-idf
51 Q0 CACM-1828 37 0.18641843240381337 tf-idf
