QUERY = "parallel processors information retrieval"
50 Q0 CACM-2714 1 0.8398442386584233 tf-idf
50 Q0 CACM-2278 2 0.4883277249913695 tf-idf
50 Q0 CACM-0891 3 0.4513397983966048 tf-idf
50 Q0 CACM-2288 4 0.4409704466651755 tf-idf
50 Q0 CACM-0634 5 0.375233760079665 tf-idf
50 Q0 CACM-3156 6 0.36514966898192314 tf-idf
50 Q0 CACM-0651 7 0.3517816500746859 tf-idf
50 Q0 CACM-2070 8 0.3517816500746859 tf-idf
50 Q0 CACM-0275 9 0.3310886118349985 tf-idf
50 Q0 CACM-0082 10 0.32469962739800634 tf-idf
50 Q0 CACM-1830 11 0.315744618036484 tf-idf
50 Q0 CACM-1262 12 0.296357507924011 tf-idf
50 Q0 CACM-0239 13 0.2962371790102618 tf-idf
50 Q0 CACM-0292 14 0.2962371790102618 tf-idf
50 Q0 CACM-1457 15 0.2865538977258425 tf-idf
50 Q0 CACM-1681 16 0.27716426134706584 tf-idf
50 Q0 CACM-0141 17 0.27518911450086736 tf-idf
50 Q0 CACM-3134 18 0.2751033441166659 tf-idf
50 Q0 CACM-2685 19 0.26878936765201 tf-idf
50 Q0 CACM-1811 20 0.2585015296233099 tf-idf
50 Q0 CACM-2700 21 0.24855790987175116 tf-idf
50 Q0 CACM-1699 22 0.24659953506026383 tf-idf
50 Q0 CACM-1158 23 0.24079047518825894 tf-idf
50 Q0 CACM-1032 24 0.23606354563393173 tf-idf
50 Q0 CACM-1516 25 0.22855600650782137 tf-idf
50 Q0 CACM-0763 26 0.22728973917860446 tf-idf
50 Q0 CACM-1831 27 0.22514025604779897 tf-idf
50 Q0 CACM-1514 28 0.21523557515800232 tf-idf
50 Q0 CACM-3075 29 0.20996105966460582 tf-idf
50 Q0 CACM-2552 30 0.20846320004425833 tf-idf
50 Q0 CACM-3012 31 0.20670508151737899 tf-idf
50 Q0 CACM-1267 32 0.20418283076352653 tf-idf
50 Q0 CACM-1302 33 0.2027709264743233 tf-idf
50 Q0 CACM-3168 34 0.2010180857569634 tf-idf
50 Q0 CACM-2631 35 0.19898641959745694 tf-idf
50 Q0 CACM-2832 36 0.19587456730649863 tf-idf
50 Q0 CACM-0950 37 0.19263238015060716 tf-idf
50 Q0 CACM-2973 38 0.1902542026178836 tf-idf
50 Q0 CACM-2781 39 0.1876168800398325 tf-idf
50 Q0 CACM-3169 40 0.1876168800398325 tf-idf
50 Q0 CACM-1825 41 0.18745545499266345 tf-idf
50 Q0 CACM-1828 42 0.18641843240381337 tf-idf
50 Q0 CACM-2266 43 0.1834594096672449 tf-idf
50 Q0 CACM-2412 44 0.18156472261919274 tf-idf
50 Q0 CACM-2785 45 0.1805928563911942 tf-idf
50 Q0 CACM-2497 46 0.18030960777039598 tf-idf
50 Q0 CACM-2516 47 0.17963318301686088 tf-idf
50 Q0 CACM-2114 48 0.1787816465920239 tf-idf
50 Q0 CACM-2990 49 0.1765924622063491 tf-idf
50 Q0 CACM-1745 50 0.17617858834977898 tf-idf
50 Q0 CACM-2870 51 0.17436231424308019 tf-idf
50 Q0 CACM-2175 52 0.17131635736817571 tf-idf
50 Q0 CACM-2519 53 0.16992400434076183 tf-idf
50 Q0 CACM-2160 54 0.16961705680749675 tf-idf
50 Q0 CACM-2407 55 0.16955533314865945 tf-idf
50 Q0 CACM-0392 56 0.16750641752226708 tf-idf
50 Q0 CACM-1251 57 0.16663196533575153 tf-idf
50 Q0 CACM-2479 58 0.16473842027511798 tf-idf
50 Q0 CACM-1665 59 0.16152570296956661 tf-idf
50 Q0 CACM-0652 60 0.16107756649122648 tf-idf
50 Q0 CACM-0797 61 0.16107756649122648 tf-idf
50 Q0 CACM-0655 62 0.1608144686055707 tf-idf
50 Q0 CACM-1846 63 0.16068891964483553 tf-idf
50 Q0 CACM-2882 64 0.16065660987417724 tf-idf
50 Q0 CACM-0653 65 0.1606171451913289 tf-idf
50 Q0 CACM-1795 66 0.16052698345883928 tf-idf
50 Q0 CACM-2895 67 0.16052698345883928 tf-idf
50 Q0 CACM-2723 68 0.16045900874980193 tf-idf
50 Q0 CACM-2140 69 0.15901599075702819 tf-idf
50 Q0 CACM-2865 70 0.1587966625727821 tf-idf
50 Q0 CACM-2846 71 0.157376650646131 tf-idf
50 Q0 CACM-1236 72 0.15257205327655862 tf-idf
50 Q0 CACM-0208 73 0.15101021858552482 tf-idf
50 Q0 CACM-0657 74 0.15101021858552482 tf-idf
50 Q0 CACM-2484 75 0.14993294500655455 tf-idf
50 Q0 CACM-1675 76 0.1481185895051309 tf-idf
50 Q0 CACM-2561 77 0.14699014888839182 tf-idf
50 Q0 CACM-1468 78 0.14447428511295535 tf-idf
50 Q0 CACM-1627 79 0.14365481961720306 tf-idf
50 Q0 CACM-0656 80 0.14212726455108218 tf-idf
50 Q0 CACM-1289 81 0.14212726455108218 tf-idf
50 Q0 CACM-2852 82 0.13885997111312628 tf-idf
50 Q0 CACM-1971 83 0.1380664855639084 tf-idf
50 Q0 CACM-3059 84 0.13759455725043368 tf-idf
50 Q0 CACM-0892 85 0.13669544271602457 tf-idf
50 Q0 CACM-2570 86 0.1361232221066264 tf-idf
50 Q0 CACM-1412 87 0.13548580359075124 tf-idf
50 Q0 CACM-0690 88 0.1342313054093554 tf-idf
50 Q0 CACM-1064 89 0.1342313054093554 tf-idf
50 Q0 CACM-1508 90 0.1342313054093554 tf-idf
50 Q0 CACM-2307 91 0.13405074803684652 tf-idf
50 Q0 CACM-2711 92 0.13392435787609033 tf-idf
50 Q0 CACM-1652 93 0.13298400339711794 tf-idf
50 Q0 CACM-1937 94 0.13245266163569375 tf-idf
50 Q0 CACM-1271 95 0.13111603689088072 tf-idf
50 Q0 CACM-2575 96 0.13111603689088072 tf-idf
50 Q0 CACM-1725 97 0.13104878025887437 tf-idf
50 Q0 CACM-2949 98 0.13060343229018365 tf-idf
50 Q0 CACM-0626 99 0.1284937161530631 tf-idf
50 Q0 CACM-2157 100 0.1284937161530631 tf-idf
